firstname,surname,team,position,searchable_name
Pablo,Hernández,Swansea,M,pablo hernandez  
Raheem,Sterling,Leics,M,raheem sterling
Mikel,Arteta,Arsenal,M,mikel arteta
Moussa,Sissoko,N'castle,M,moussa sissoko
Ryan,Shawcross,Stoke,D,ryan shawcross
Ross,Barkley,Everton,M,ross barkley
Darron,Gibson,Everton,M,darron gibson
Mohamed,Diamé,West Ham,M,mohamed diame
Tom,Huddlestone,Hull,M,tom huddlestone
Michael,Carrick,Man Utd,M,michael carrick
Dusan,Tadic,So'ton,M,dusan tadic
Mohamed,Salah,Chelsea,M,mohamed salah
Mauro,Zárate,West Ham,F,mauro zarate
Matija,Nastasic,Man City,D,matija nastasic
Mapou,Yanga-Mbiwa,N'castle,D,mapou yanga-mbiwa
Vurnon,Anita,N'castle,M,vurnon anita
Jack,Rodwell,Man City,M,jack rodwell
Jay,Rodriguez,So'ton,F,jay rodriguez
Fabian,Delph,Villa,M,fabian delph
Adam,Johnson,S'land,M,adam johnson
Lazar,Markovic,Leics,M,lazar markovic
Jake,Livermore,Hull,M,jake livermore
Micah,Richards,Man City,D,micah richards
Robert,Snodgrass,Hull,M,robert snodgrass
Stewart,Downing,West Ham,M,stewart downing
Ron,Vlaar,Villa,D,ron vlaar
Steven,Naismith,Everton,F,steven naismith
Esteban,Granero,QPR,M,esteban granero
Vlad,Chiriches,Spurs,D,vlad chiriches
Oriol,Romeu,Chelsea,M,oriol romeu
Marco,van Ginkel,Chelsea,M,marco van ginkel
Ben,Foster,WBA,G,ben foster
Davide,Santon,N'castle,D,davide santon
Sone,Aluko,Hull,M,sone aluko
Ashley,Williams,Swansea,D,ashley williams
Mark,Noble,West Ham,M,mark noble
Steven,N'Zonzi,Stoke,M,steven n'zonzi
Ravel,Morrison,West Ham,M,ravel morrison
Lee,Cattermole,S'land,M,lee cattermole
Luke,Shaw,Man Utd,D,luke shaw
Martin,Kelly,Leics,D,martin kelly
Stéphane,Sessegnon,WBA,M,stephane sessegnon
Michael,Kightly,Burnley,M,michael kightly
Michael,Dawson,Spurs,D,michael dawson
Steven,Taylor,N'castle,D,steven taylor
Scott,Dann,Palace,D,scott dann
Jordi,Amat,Swansea,D,jordi amat
Bafétimbi,Gomis,Swansea,F,bafetimbi gomis
Liam,Bridcutt,S'land,M,liam bridcutt
Jores,Okore,Villa,D,jores okore
Michel,Vorm,Swansea,G,michel vorm
Modibo,Diakité,S'land,D,modibo diakite
Oussama,Assaidi,Leics,M,oussama assaidi
Emre,Can,Leics,M,emre can
Robbie,Brady,Hull,M,robbie brady
Tom,Ince,Hull,M,tom ince
Ahmed,Elmohamady,Hull,M,ahmed elmohamady
Nathaniel,Clyne,So'ton,D,nathaniel clyne
Jack,Cork,So'ton,M,jack cork
Ashley,Westwood,Villa,M,ashley westwood
Steven,Davis,So'ton,M,steven davis
Graham,Dorrans,WBA,M,graham dorrans
Chico, ,Swansea,D,chico  
James,Ward-Prowse,So'ton,M,james ward-prowse
Neil,Taylor,Swansea,D,neil taylor
Jonas,Olsson,WBA,D,jonas olsson
Charlie,Adam,Stoke,M,charlie adam
Adel,Taarabt,QPR,M,adel taarabt
Charlie,Austin,QPR,F,charlie austin
Wayne,Routledge,Swansea,M,wayne routledge
Curtis,Davies,Hull,D,curtis davies
Matt,Phillips,QPR,M,matt phillips
Brad,Guzan,Villa,G,brad guzan
Geoff,Cameron,Stoke,D,geoff cameron
José,Cañas,Swansea,M,jose canas
Winston,Reid,West Ham,D,winston reid
Danny,Graham,S'land,F,danny graham
Patrice,Evra,Man Utd,D,patrice evra
Chris,Brunt,WBA,M,chris brunt
Sebastian,Larsson,S'land,M,sebastian larsson
Libor,Kozák,Villa,F,libor kozak
