firstname,surname,team,position,searchable_name
Nick,Kasa,OAK,TE,Nick Kasa
Niles,Paul,WAS,TE,Niles Paul
Peyton,Hillis,NYG,RB,Peyton Hillis
Rajion,Neal,GB,RB,Rajion Neal
Rhett,Ellison,MIN,TE,Rhett Ellison
Robert,Meachem,NO,WR,Robert Meachem
Ronnie,Wingo,BUF,RB,Ronnie Wingo
Ryan,Griffin,NO,QB,Ryan Griffin
Ryan,Lindley,ARI,QB,Ryan Lindley
Ryan,Nassib,NYG,QB,Ryan Nassib
Santana,Moss,WAS,WR,Santana Moss
Scott,Tolzien,GB,QB,Scott Tolzien
Sean,Renfree,ATL,QB,Sean Renfree
Seyi,Ajirotutu,SD,WR,Seyi Ajirotutu
Shaun,Draughn,CHI,RB,Shaun Draughn
Shaun,Hill,STL,QB,Shaun Hill
Stanley,Havili,IND,RB,Stanley Havili
Stephen,Houston,NE,RB,Stephen Houston
T.J.,Graham,BUF,WR,T.J. Graham
T.J.,Jones,DET,WR,T.J. Jones
T.J.,Yates,ATL,QB,T.J. Yates
Tandon,Doss,JAX,WR,Tandon Doss
Tarvaris,Jackson,SEA,QB,Tarvaris Jackson
Taylor,Thompson,TEN,TE,Taylor Thompson
Terrence,Toliver,CHI,WR,Terrence Toliver
Tony,Fiammetta,CHI,RB,Tony Fiammetta
Tony,Moeaki,BUF,TE,Tony Moeaki
Travis,Benjamin,CLE,WR,Travis Benjamin
Travis,Coons,TEN,PK,Travis Coons
Trindon,Holliday,NYG,WR,Trindon Holliday
Tyrod,Taylor,BAL,QB,Tyrod Taylor
Virgil,Green,DEN,TE,Virgil Green
Zac,Dysert,DEN,QB,Zac Dysert
Zach,Line,MIN,RB,Zach Line
