firstname,surname,team,position,searchable_name
Tre,Mason,STL,RB,Tre Mason
Odell,Beckham,NYG,WR,Odell Beckham
Tyler,Eifert,CIN,TE,Tyler Eifert
Aaron,Dobson,NE,WR,Aaron Dobson
Johnny,Manziel,CLE,QB,Johnny Manziel
Markus,Wheaton,PIT,WR,Markus Wheaton
Ryan,Tannehill,MIA,QB,Ryan Tannehill
Khiry,Robinson,NO,RB,Khiry Robinson
Anquan,Boldin,SF,WR,Anquan Boldin
Panthers,D/ST,CAR,DST,Carolina Panthers D/ST
Fred,Jackson,BUF,RB,Fred Jackson
Jarrett,Boykin,GB,WR,Jarrett Boykin
Marqise,Lee,JAX,WR,Marqise Lee
David,Wilson,NYG,RB,David Wilson
Rams,D/ST,STL,DST,St Louis Rams D/ST
Greg,Jennings,MIN,WR,Greg Jennings
Chiefs,D/ST,KC,DST,Kansas City Chiefs D/ST
Dwayne,Allen,IND,TE,Dwayne Allen
Robert,Woods,BUF,WR,Robert Woods
Davante,Adams,GB,WR,Davante Adams
Teddy,Bridgewater,MIN,QB,Teddy Bridgewater
Ka'Deem,Carey,CHI,RB,Ka'Deem Carey
Allen,Robinson,JAX,WR,Allen Robinson
James,Jones,OAK,WR,James Jones
Broncos,D/ST,DEN,DST,Denver Broncos D/ST
Marcus,Lattimore,SF,RB,Marcus Lattimore
Stephen,Gostkowski,NE,PK,Stephen Gostkowski
Alex,Smith,KC,QB,Alex Smith
Brian,Hartline,MIA,WR,Brian Hartline
Bengals,D/ST,CIN,DST,Cincinatti Bengals D/ST
DeAngelo,Williams,CAR,RB,DeAngelo Williams
Austin,Seferian-Jenkins,TB,TE,Austin Seferian-Jenkins
Jace,Amaro,NYJ,TE,Jace Amaro
Knile,Davis,KC,RB,Knile Davis
Mark,Ingram,NO,RB,Mark Ingram
Cody,Latimer,DEN,WR,Cody Latimer
Donte,Moncrief,IND,WR,Donte Moncrief
Delanie,Walker,TEN,TE,Delanie Walker
Cardinals,D/ST,ARI,DST,Arizona Cardinals D/ST
Eli,Manning,NYG,QB,Eli Manning
Matt,Prater,DEN,PK,Matt Prater
Patriots,D/ST,NE,DST,New England Patriots D/ST
Joe,Flacco,BAL,QB,Joe Flacco
Carson,Palmer,ARI,QB,Carson Palmer
Antonio,Gates,SD,TE,Antonio Gates
Sam,Bradford,STL,QB,Sam Bradford
Charles,Sims,TB,RB,Charles Sims
Kenny,Britt,STL,WR,Kenny Britt
Chris,Ivory,NYJ,RB,Chris Ivory
E.J.,Manuel,BUF,QB,E.J. Manuel
Heath,Miller,PIT,TE,Heath Miller
Blake,Bortles,JAX,QB,Blake Bortles
Steve,Smith,BAL,WR,Steve Smith
